Color,director_name,actor1_name,actor2_name,actor3_name,num_critic_votes_imdb,num_user_votes_rt,genre,movie_title,release_date,gross_income,budget,country,language,plot_keywords,avg_imdb_rt_score,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,aspect_ratio,movie_facebook_likes,Images
Color,Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godr√®che,83,125219,"Action, Adventure",The Man in the Iron Mask †,1998,56876365,35000000,USA,English,"france, musketeer, three musketeers, twin, twin brother",6.4,130,29000,130,80,29265,1,http://www.imdb.com/title/tt0120744/?ref_=fn_tt_tt_1,244,PG-13,1.85,0,none
Color,Tim Burton,Michael Gough,Jack Palance,William Hootkins,186,269033,"Action, Adventure",Batman †,1989,251188924,35000000,USA,English,"city, dc comics, gotham, pantyhose, police",7.6,13000,920,549,488,2725,0,http://www.imdb.com/title/tt0096895/?ref_=fn_tt_tt_1,817,PG-13,1.85,12000,none
Color,Steven Spielberg,Harrison Ford,Amrish Puri,Kate Capshaw,148,329969,"Action, Adventure",Indiana Jones and the Temple of Doom †,1984,179870271,28000000,USA,English,"children, studio logo segues into film, temple, village, white dinner jacket",7.6,14000,11000,429,237,11898,2,http://www.imdb.com/title/tt0087469/?ref_=fn_tt_tt_1,524,PG,2.35,0,none
Color,Steven Spielberg,Harrison Ford,Karen Allen,William Hootkins,234,661017,"Action, Adventure",Raiders of the Lost Ark †,1981,242374454,18000000,USA,English,"archeological dig, archeologist, ark of the covenant, egypt, nazi",8.5,14000,11000,783,488,12906,1,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,771,PG,2.35,16000,none
Color,Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,81,25572,"Action, Adventure, Animation, Comedy, Crime, Family, Fantasy",Osmosis Jones †,2001,13596911,70000000,USA,English,"blood, body, egg, virus, white blood cell",6.2,101,2000,509,443,3734,0,http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1,123,PG,2.35,2000,none
0,Richard Rich,Debi Derryberry,Kate Higgins,Cindy Robinson,2,192,"Action, Adventure, Animation, Comedy, Drama, Family, Fantasy, Thriller",Alpha and Omega 4: The Legend of the Saw Toothed Cave †,2014,0,7000000,USA,0,"blindness, cave, spirit, wolf, wolf cub",6,24,122,35,29,236,0,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,6,0,0,41,none
Color,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,384,279093,"Action, Adventure, Animation, Comedy, Drama, Family, Sci-Fi",Big Hero 6 †,2014,222487711,165000000,USA,English,"high tech, martial arts, masked man, robot, superhero",7.9,38,756,719,562,2963,0,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433,PG,2.39,41000,none
Color,Brad Bird,Vin Diesel,Harry Connick Jr.,M. Emmet Walsh,162,128455,"Action, Adventure, Animation, Comedy, Drama, Family, Sci-Fi",The Iron Giant †,1999,23159305,70000000,USA,English,"boy, friend, government agent, maine, robot",8,663,14000,631,521,16358,1,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,514,PG,2.35,0,none
Color,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,210,64322,"Action, Adventure, Animation, Comedy, Family",Kung Fu Panda 3 †,2016,143523463,145000000,USA,English,"china, kung fu, panda, pig, village",7.2,5,24000,11000,967,36095,0,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,145,PG,2.35,24000,none
Color,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,284,182718,"Action, Adventure, Animation, Comedy, Family",Kung Fu Panda 2 †,2011,165230261,150000000,USA,English,"china, kung fu, panda, peacock, tigress",7.3,90,11000,10000,15,21015,0,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,209,PG,2.35,20000,none
Color,Lijun Sun,Jon Heder,Tom Arnold,Rebecca Black,5,408,"Action, Adventure, Animation, Comedy, Family",Legend of Kung Fu Rabbit †,2011,0,0,China,Mandarin,"anthropomorphic animal, china, furry, rabbit",3.2,0,970,618,188,1854,0,http://www.imdb.com/title/tt1876517/?ref_=fn_tt_tt_1,12,PG,0,211,none
Color,Carlos Saldanha,Denis Leary,Maile Flanagan,Kelly Keaton,188,166791,"Action, Adventure, Animation, Comedy, Family",Ice Age: Dawn of the Dinosaurs †,2009,196573705,90000000,USA,English,"egg, lost world, rescue, squirrel, weasel",7,107,835,256,117,1258,0,http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1,132,PG,1.85,0,none
Color,Mark Osborne,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,266,307029,"Action, Adventure, Animation, Comedy, Family",Kung Fu Panda †,2008,215395021,130000000,USA,English,"kung fu, kung fu master, master, panda, snow leopard",7.6,54,11000,967,562,12754,0,http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1,360,PG,2.35,6000,none
Color,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,167,146019,"Action, Adventure, Animation, Comedy, Family",Madagascar: Escape 2 Africa †,2008,179982968,150000000,USA,English,"africa, madagascar, new york city, sequel, zoo",6.7,35,1000,851,436,3285,0,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,119,PG,1.85,0,none
Color,Dean DeBlois,Gerard Butler,Djimon Hounsou,America Ferrera,292,221128,"Action, Adventure, Animation, Comedy, Family, Fantasy",How to Train Your Dragon 2 †,2014,176997107,145000000,USA,English,"dragon, father son relationship, husband wife relationship, mother son relationship, viking",7.9,255,18000,3000,953,23378,5,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,343,PG,2.35,46000,none
Color,Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,435,246698,"Action, Adventure, Animation, Comedy, Family, Fantasy",The Lego Movie †,2014,257756197,60000000,Australia,English,"based on toy, dual personality, evil businessman, good cop bad cop, lego",7.8,97,11000,8000,2000,22128,0,http://www.imdb.com/title/tt1490017/?ref_=fn_tt_tt_1,471,PG,2.35,64000,none
Color,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,246,114287,"Action, Adventure, Animation, Comedy, Family, Fantasy",Puss in Boots †,2011,149234747,130000000,USA,English,"betrayal, egg, friend, goose, hero",6.7,50,4000,442,397,5046,0,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1,137,PG,2.35,16000,none
Color,Carlos Saldanha,Denis Leary,Ray Romano,Jay Leno,164,194249,"Action, Adventure, Animation, Comedy, Family, Fantasy",Ice Age: The Meltdown †,2006,195329763,80000000,USA,English,"flood, mammoth, no opening credits, squirrel, valley",6.9,107,835,590,241,1815,0,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,253,PG,1.85,0,none
Color,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,145,33042,"Action, Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi",G-Force †,2009,119420252,150000000,USA,English,"fbi director, guinea pig, household appliance, secret agent, talking mouse",5.1,12,730,607,182,2217,0,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,90,PG,2.35,0,none
Color,Kevin Munroe,Chris Evans,Sarah Michelle Gellar,Mako,191,53786,"Action, Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi",TMNT †,2007,54132596,34000000,Hong Kong,English,"martial arts master, monster, new york city, turtle, warrior",6.3,14,11000,4000,691,16571,0,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,211,PG,2.35,0,none
Color,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,132,17590,"Action, Adventure, Animation, Comedy, Family, Sci-Fi",Mars Needs Moms †,2011,21379315,150000000,USA,English,"boy, martian, rescue, robot, sexism",5.4,25,921,562,433,2652,0,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,112,PG,2.35,0,none
Color,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,219,114553,"Action, Adventure, Animation, Comedy, Family, Sci-Fi",Monsters vs. Aliens †,2009,198332128,175000000,USA,English,"alien, alien invasion, alien space craft, giant, giantess",6.5,11,1000,973,459,2579,2,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,PG,2.35,0,none
Color,John A. Davis,Martin Short,Rob Paulsen,Andrea Martin,66,23943,"Action, Adventure, Animation, Comedy, Family, Sci-Fi",Jimmy Neutron: Boy Genius †,2001,80920948,30000000,USA,English,"alien, boy genius, children, genius, rescue",6,8,770,677,179,2251,0,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,118,G,1.85,425,none
Color,Richard Williams,Donald Pleasence,Kenneth Williams,Clive Revill,10,2541,"Action, Adventure, Animation, Comedy, Fantasy",The Princess and the Cobbler †,1993,669276,28000000,UK,English,"cobbler, desert, gold, princess, thief",7.2,18,742,83,73,1088,0,http://www.imdb.com/title/tt0112389/?ref_=fn_tt_tt_1,47,G,2.35,408,none
Color,Matt Maiellaro,Tina Fey,Fred Armisen,Chris Kattan,82,12160,"Action, Adventure, Animation, Comedy, Fantasy, Sci-Fi",Aqua Teen Hunger Force Colon Movie Film for Theaters †,2007,5518918,750000,USA,English,"based on cult tv series, critically acclaimed, exercise machine, midnight movie, robot",6.9,8,2000,424,357,3071,0,http://www.imdb.com/title/tt0455326/?ref_=fn_tt_tt_1,73,R,1.85,307,none
Color,Thorbj√∏rn Christoffersen,Iben Hjejle,Frank Hvam,Casper Christensen,2,1828,"Action, Adventure, Animation, Comedy, Sci-Fi",Journey to Saturn †,2008,0,0,Denmark,Danish,"crew, cult film, denmark, earth, wristwatch",5.7,0,122,33,13,197,0,http://www.imdb.com/title/tt1095423/?ref_=fn_tt_tt_1,6,Not Rated,1.85,77,none
Color,0,Dee Bradley Baker,James Arnold Taylor,Tom Kane,47,28190,"Action, Adventure, Animation, Drama, Fantasy, Sci-Fi",Star Wars: The Clone Wars †            ,0,0,0,USA,English,"begins with narration, female warrior, inbetwequel, jedi knight, war against machines",7.9,0,668,296,265,1484,0,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,73,TV-PG,2.35,2000,none
Color,Shane Acker,Martin Landau,Alan Oppenheimer,Tom Kane,263,111117,"Action, Adventure, Animation, Drama, Mystery, Sci-Fi, Thriller",9 †,2009,31743332,30000000,USA,English,"hope, key, machine, number, rag doll",7.1,30,940,271,265,1594,0,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,245,PG-13,1.85,13000,none
Color,Brad Bird,Holly Hunter,Craig T. Nelson,Lou Romano,283,479166,"Action, Adventure, Animation, Family",The Incredibles †,2004,261437578,92000000,USA,English,"hero, island, lawsuit, secret, superhero",8,663,1000,723,55,1901,0,http://www.imdb.com/title/tt0317705/?ref_=fn_tt_tt_1,815,PG,2.35,0,none
Color,Zack Snyder,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,188,65785,"Action, Adventure, Animation, Family, Fantasy",Legend of the Guardians: The Owls of Ga'Hoole †,2010,55673333,80000000,USA,English,"barn owl, escape, owl, ruler, soldier",7,0,2000,653,577,4286,1,http://www.imdb.com/title/tt1219342/?ref_=fn_tt_tt_1,160,PG,2.35,16000,none
Color,Kunihisa Sugishima,Dan Green,Eric Stuart ,Amy Birnbaum,6,12417,"Action, Adventure, Animation, Family, Fantasy",Yu-Gi-Oh! Duel Monsters †            ,0,0,0,Japan,Japanese,"anime, based on manga, hero, surrealism, zen",7,0,0,0,0,0,0,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,51,0,0,124,Yu-Gi-Oh! Duel Monsters .jpg
Color,Gary Trousdale,Leonard Nimoy,Jim Varney,Cree Summer,146,72591,"Action, Adventure, Animation, Family, Fantasy, Sci-Fi",Atlantis: The Lost Empire †,2001,84037039,120000000,USA,English,"atlantis, crew, expedition, journal, museum",6.8,21,12000,802,503,15237,0,http://www.imdb.com/title/tt0230011/?ref_=fn_tt_tt_1,289,PG,2.35,0,none
Color,Kunihiko Yuyama,Veronica Taylor,Eric Stuart,Lisa Ortiz,39,9066,"Action, Adventure, Animation, Family, Fantasy, Sci-Fi",Pok√©mon 3: The Movie †,2000,0,16000000,Japan,Japanese,"ash, father, mother, pokemon, professor",5.6,8,88,82,49,373,0,http://www.imdb.com/title/tt0235679/?ref_=fn_tt_tt_1,55,G,1.85,38,none
Color,Don Bluth,Matt Damon,Janeane Garofalo,Nathan Lane,131,52244,"Action, Adventure, Animation, Family, Sci-Fi",Titan A.E. †,2000,22751979,75000000,USA,English,"alien, captain, escape, pilot, scientist",6.6,383,13000,1000,886,15857,0,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1,377,PG,2.35,0,none
Color,Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,29,5164,"Action, Adventure, Animation, Family, Sci-Fi",Digimon: The Movie †,2000,9628751,5000000,USA,English,"based on video game, box office hit, computer, digimon, internet",5.9,99,93,45,44,315,0,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,65,PG,1.85,207,none
Color,Katsuhiro √îtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,105,13727,"Action, Adventure, Animation, Family, Sci-Fi, Thriller",Steamboy †,2004,410388,2127519898,Japan,Japanese,"19th century, ball, boy, inventor, steam",6.9,78,488,336,101,991,1,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,79,PG-13,1.85,973,C:\Aashmit.2\Important\DEPRESSION\Sem 4\DBMS x JAVA\Language\japanese\Steamboy †.jpg
Color,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roch√©,287,142440,"Action, Adventure, Animation, Fantasy",Beowulf †,2007,82161969,150000000,USA,English,"creature, demon, king, reward, warrior",6.3,0,18000,12000,964,31523,1,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,505,PG-13,2.35,3000,none
Color,Hironobu Sakaguchi,Steve Buscemi,Ming-Na Wen,Jean Simmons,166,72259,"Action, Adventure, Animation, Fantasy, Romance, Sci-Fi",Final Fantasy: The Spirits Within †,2001,32131830,137000000,USA,English,"general, military, scientist, soldier, year 2065",6.4,6,12000,2000,422,15015,1,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,788,PG-13,1.85,0,none
Color,Steven S. DeKnight,Peter Mensah,Kelvin Taylor,Viva Bianca,68,173172,"Action, Adventure, Biography, Drama, History",Spartacus: War of the Damned †            ,2013,0,0,USA,English,"female frontal nudity, female full frontal nudity, gladiator, group sex, slave girl",8.6,0,1000,939,898,6091,2,http://www.imdb.com/title/tt1442449/?ref_=fn_tt_tt_1,302,TV-MA,16,31000,Spartacus War of the Damned.jpg
Color,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,248,138863,"Action, Adventure, Biography, Drama, History, Romance, War",Alexander †,2004,34293771,155000000,Germany,English,"ancient greece, conquest, greek, greek myth, king",5.5,0,12000,11000,591,24598,3,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,R,2.35,0,none
Color,Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,289,71782,"Action, Adventure, Biography, Drama, History, Thriller",In the Heart of the Sea †,2015,24985612,100000000,USA,English,"emaciation, ship, starvation, vomiting, whale",7,2000,26000,911,571,28328,0,http://www.imdb.com/title/tt1390411/?ref_=fn_tt_tt_1,161,PG-13,1.85,27000,none
Color,Guy Ritchie,Henry Cavill,Elizabeth Debicki,Christian Berkel,362,175960,"Action, Adventure, Comedy",The Man from U.N.C.L.E. †,2015,45434443,75000000,USA,English,"box office flop, cia agent, criminal organization, kgb agent, nuclear bomb",7.3,0,15000,509,104,15735,2,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1,360,PG-13,2.35,43000,none
Color,Hao Ning,Jack Kao,Bo Huang,Zheng Xu,5,1418,"Action, Adventure, Comedy",Silver Medallist †,2009,0,15000000,China,Mandarin,color in title,7.4,0,11,4,4,19,1,http://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,4,0,2.35,30,C:\Aashmit.2\Important\DEPRESSION\Sem 4\DBMS x JAVA\Language\mandarin\Silver Medallist †.jpg
Color,Peter Segal,Bill Murray,Dwayne Johnson,Anne Hathaway,265,168172,"Action, Adventure, Comedy",Get Smart †,2008,130313314,80000000,USA,English,"airplane, misunderstanding, obese woman, overweight woman, spy",6.5,88,13000,12000,11000,44798,1,http://www.imdb.com/title/tt0425061/?ref_=fn_tt_tt_1,380,PG-13,1.85,0,none
Color,Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora,177,99989,"Action, Adventure, Comedy",Wild Hogs †,2007,168213584,0,USA,English,"biker gang, friend, motorcycle, new mexico, road trip",5.9,12,419,330,311,1412,3,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255,PG-13,2.35,0,none
Color,Jay Chandrasekhar,Alice Greczyn,Jessica Simpson,Michael Weston,144,66382,"Action, Adventure, Comedy",The Dukes of Hazzard †,2005,80270227,50000000,USA,English,"1969 dodge charger, bikini, farm, misogynist, tow truck",5.1,422,631,534,379,2297,5,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,612,PG-13,2.35,0,none
Color,Frank Coraci,Jim Broadbent,Steve Coogan,C√©cile De France,188,68720,"Action, Adventure, Comedy",Around the World in 80 Days †,2004,24004159,110000000,USA,English,"19th century, around the world, inventor, martial arts, train",5.8,153,1000,1000,447,3175,0,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,191,PG,2.35,0,none
Color,Frank Coraci,Jim Broadbent,Steve Coogan,C√©cile De France,188,68722,"Action, Adventure, Comedy",Around the World in 80 Days †,2004,24004159,110000000,USA,English,"19th century, around the world, inventor, martial arts, train",5.8,153,1000,1000,447,3175,0,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,191,PG,2.35,0,none
Color,David Dobkin,Fann Wong,Anna-Louise Plowman,Georgina Chapman,165,81444,"Action, Adventure, Comedy",Shanghai Knights †,2003,60470220,50000000,USA,English,"1880s, arrow, imperial seal, murder, revenge",6.2,71,154,131,55,428,2,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,192,PG-13,2.35,955,none
Color,Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,122,114692,"Action, Adventure, Comedy",Johnny English †,2003,27972410,35000000,UK,English,"british, crown jewels, explosion, funeral, spy",6.1,29,427,304,252,1461,1,http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1,285,PG,1.85,2000,none
Color,Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,61,21102,"Action, Adventure, Comedy",Cutthroat Island †,1995,11000000,98000000,USA,English,"latin, pirate, pirate ship, treasure, treasure map",5.6,212,1000,903,810,3611,3,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1,169,PG-13,2.35,1000,none
Color,Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,60,43376,"Action, Adventure, Comedy",Hudson Hawk †,1991,17218080,70000000,USA,English,"blackmail, burglar, critically bashed, leonardo da vinci, prison",5.7,36,13000,773,554,15944,0,http://www.imdb.com/title/tt0102070/?ref_=fn_tt_tt_1,249,R,1.85,0,none
Color,John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,32,44096,"Action, Adventure, Comedy",Crocodile Dundee II †,1988,109306210,15800000,Australia,English,"australia, australian, crime boss, crocodile, gangster",5.5,5,442,162,57,717,1,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,62,PG,2.35,489,none
Color,Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,152,89568,"Action, Adventure, Comedy, Crime",Johnny English Reborn †,2011,8129455,45000000,USA,English,"assassin, chinese, conspiracy, gadget, premier",6.3,32,219,141,104,661,1,http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,142,PG,2.35,17000,none
Color,McG,Demi Moore,Bernie Mac,Justin Theroux,102,100821,"Action, Adventure, Comedy, Crime",Charlie's Angels: Full Throttle †,2003,100685880,120000000,USA,English,"fbi, murder, ring, witness protection, witness protection program",4.8,368,2000,1000,1000,4046,0,http://www.imdb.com/title/tt0305357/?ref_=fn_tt_tt_1,554,PG-13,2.35,0,none
Color,David McNally,Estella Warren,Dyan Cannon,Bill Hunter,73,23476,"Action, Adventure, Comedy, Crime",Kangaroo Jack †,2003,66734992,60000000,USA,English,"australia, body paint, kangaroo, mob, money",4.4,18,658,257,226,1233,0,http://www.imdb.com/title/tt0257568/?ref_=fn_tt_tt_1,181,PG,2.35,858,none
Color,Jay Roach,Muse Watson,Verne Troyer,Robert Wagner,199,181225,"Action, Adventure, Comedy, Crime",Austin Powers: The Spy Who Shagged Me †,1999,205399422,33000000,USA,English,"penis joke, phallic image, sexy agent, spy, volcano hideout",6.6,116,45000,645,481,47203,1,http://www.imdb.com/title/tt0145660/?ref_=fn_tt_tt_1,784,PG-13,2.35,0,none
Color,Steve Oedekerk,Kelly Preston,Michael McKean,Rebecca Gayheart,49,36253,"Action, Adventure, Comedy, Crime",Nothing to Lose †,1997,44455658,25000000,USA,English,"boss, ghetto, money, robber, robbery",6.7,176,742,658,468,2457,2,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,92,R,1.85,0,none
